product_id,1st_peer_id,1st_similarity,2nd_peer_id,2nd_similarity,3rd_peer_id,3rd_similarity,4th_peer_id,4th_similarity,5th_peer_id,5th_similarity
1,566,0.5003472653432016,708,0.495601674500382,559,0.48203904323793695,811,0.4801220964056306,448,0.479875176943424
2,452,0.6949974719569089,216,0.6869352072899247,839,0.6854795266045529,108,0.681825609030873,117,0.6643018434077711
3,62,0.5228828307965112,255,0.5199777704529913,233,0.5178209835977492,626,0.5167688262983062,839,0.5148707522817256
4,623,0.5856611956774682,281,0.5850342123346081,274,0.5772244281432779,357,0.5770019527113296,360,0.5766800921183539
5,615,0.9452985009443888,61,0.9391108799191059,623,0.9383440426067173,153,0.9326923288379082,374,0.9292274095778343
6,506,0.9994608152375744,614,0.999406426991111,535,0.9654985788279467,357,0.9611855420438826,360,0.9611415588563701
7,241,0.5388159060803247,151,0.4382582055825716,606,0.4147806778921702,578,0.41461742339775554,187,0.40498932850351316
8,61,0.9093088081379634,337,0.9077670012583535,205,0.9063856156495832,68,0.9036634470138273,69,0.9036634470138273
9,374,0.9448129431431294,626,0.943160023106968,743,0.9392378534464952,62,0.9365668764867423,406,0.9328573031106153
10,252,0.701127832765243,406,0.7008965958807668,360,0.7003060477665868,357,0.7002418153502564,811,0.6959364662363859
11,706,0.9996215731841881,222,0.9015758011018364,497,0.8997671947031023,644,0.8997671947031023,807,0.8777030323787167
12,838,0.8222444183949404,831,0.8221174352046096,5,0.8212353008735678,338,0.8141986868520122,409,0.8141986868520122
13,662,1.0,542,0.7628689341173603,354,0.698924010146186,52,0.6932607796061346,367,0.6931357999140636
14,89,1.0,832,0.7464022961497656,616,0.7415327097544718,451,0.7363599249463496,838,0.7352617400007818
15,71,0.6987149991453365,744,0.693340081048717,335,0.6893080929170171,838,0.6827242230330928,66,0.6802120552698085
16,591,0.966775138029818,549,0.825764945531485,33,0.8252862194940168,626,0.8043026862156053,632,0.8021491091564158
17,190,0.4300515097278929,809,0.4281581050856621,418,0.38124184626736,231,0.3795360576382948,603,0.37939794560611284
18,831,0.9071540308893475,338,0.9035595688658463,409,0.9035595688658463,838,0.8947047059712882,71,0.8928951412681458
19,422,0.4082482904638631,190,0.3934536783535178,764,0.3785166493051126,714,0.37436645290198567,631,0.3333333333333333
20,170,0.5928993217650628,64,0.5841668652933022,261,0.5718458221010972,125,0.5672940752988966,262,0.5661366586217704
21,143,0.9997310608349036,202,0.9992384547487162,613,0.9747488872402345,842,0.9741339110618334,134,0.9593936436426258
22,437,0.8290302518643066,153,0.816389738350781,535,0.8143486316127033,350,0.8111884457181624,391,0.8087363122167499
23,831,0.8820891631045256,338,0.8595275487443876,409,0.8595275487443876,838,0.8547231050863241,366,0.8433252063785088
24,535,0.7729853774577442,33,0.7726483766480428,549,0.7722896712217978,612,0.7681950062048,611,0.7680090094995252
25,72,0.9999999999999998,75,0.8687896656724755,185,0.8687896656724755,434,0.8552930265593802,615,0.8512149758039582
26,636,0.9709576808490817,350,0.9091356518660194,516,0.9056487994074651,575,0.9053274865125869,335,0.8949979991572234
27,752,1.0,516,0.9240452831258237,575,0.9238970377140348,337,0.9157167338174318,744,0.9121241360853961
28,685,0.38184710295005253,164,0.37284614363359164,201,0.37284614363359164,554,0.3706893271302137,323,0.36965388499438223
29,847,0.7869076257742063,337,0.7761039010308753,366,0.7689706558310915,299,0.7677513348801578,669,0.7675444743385713
30,627,0.562659580088651,211,0.5597402174132124,322,0.5597402174132124,690,0.5521008032078129,847,0.5461314646038363
31,807,0.31221903828380604,497,0.3010126894889965,644,0.3010126894889965,222,0.29680540867161,261,0.2933353968660675
32,811,0.5501921875988901,448,0.549740707649157,486,0.549740707649157,48,0.5409347506589389,47,0.5201332441784581
33,549,0.9999083269477674,357,0.9683640909668141,360,0.9683320196989283,403,0.9659895187961471,620,0.9656595727309395
34,364,0.8309373971262315,141,0.8190720864109478,611,0.8185456548355643,612,0.8183815815429892,170,0.8152902679388706
35,516,0.9211540031034722,575,0.9208160922141301,406,0.9156150255433052,337,0.911162743439281,374,0.9070395234771661
36,681,0.8164645807309642,709,0.8164645807309642,323,0.8135911475996901,554,0.8027568760290313,364,0.7985882163794191
37,744,0.7939173261986865,840,0.7814072454253822,335,0.7809677730931399,71,0.7784301930054053,708,0.7751659423187204
38,270,0.37892144310393916,617,0.35830592950182427,639,0.3252887717631373,74,0.31526761164098027,228,0.3111316141199683
39,437,0.5051244883455603,536,0.4998899502314953,153,0.49739096438363695,407,0.4913782677529119,399,0.4902345657976245
40,391,0.9994433537028892,848,0.9994433537028892,357,0.9871078693707989,360,0.9870908668364113,252,0.9866420423034948
41,281,0.7401930728043157,623,0.7274762050689786,374,0.7242776577912414,410,0.7224047742703864,743,0.7175226948521942
42,410,0.7695538027868216,776,0.7593657006313614,736,0.7580703071009041,398,0.7580682696309154,157,0.7580124950770184
43,88,1.0,159,1.0,214,1.0,775,1.0,787,0.6734612453567504
44,342,0.40970105584062566,694,0.4062486949782765,76,0.378845604239578,503,0.3783402044858048,190,0.37816336819362417
45,249,0.9999999999999998,571,0.9999999999999998,672,0.9711346445775417,170,0.8503777420413683,619,0.8360803947318693
46,676,0.3556579998135999,188,0.3311330892662609,192,0.3288472179799604,37,0.3137254901960784,288,0.3101446676871148
47,356,0.9340785051896493,361,0.9340206112917192,840,0.9281541505126818,48,0.9227915281222433,205,0.9158447319817135
48,356,0.9448076966686497,361,0.9442606785255883,58,0.9233191034307111,47,0.9227915281222433,354,0.9156025550463168
49,64,0.9256703924889674,367,0.9223170638990513,362,0.9221225911129394,52,0.9220369102260767,837,0.9210873586704913
50,394,0.9594496354746509,392,0.9436262860553469,619,0.9436233492715638,205,0.9314199523295319,611,0.9288598956754388
51,834,0.9709065329776788,398,0.94894086187965,410,0.9343352749345071,743,0.9342732408729185,390,0.9335881474070976
52,367,0.9999855531277551,362,0.9999809318672617,354,0.9976361070851592,837,0.987176778542638,358,0.9853367348733915
53,57,0.9012775104659881,399,0.864742763927252,367,0.8599341660708707,52,0.8597741903722742,362,0.8596649900709216
54,612,0.8925388608170753,611,0.8925317735860738,141,0.8846511919056398,364,0.8834307036989454,535,0.872040062204121
55,64,0.9101526130858596,837,0.9093707329428319,358,0.907037431891316,367,0.9067983451447696,52,0.9064189278843255
56,838,0.9156241849498745,831,0.9129118518256641,337,0.9113904512346831,437,0.9107365822607126,615,0.9106428124296322
57,53,0.9012775104659881,365,0.8327135804846959,399,0.831302068814327,837,0.82848837792936,367,0.8231556969093575
58,354,0.9711828705080544,52,0.9680786400697429,367,0.9679602058723491,362,0.9677459509291596,358,0.965302353074403
59,64,0.9669054608877092,362,0.962781193640118,52,0.9625885754412461,367,0.9625396557802256,85,0.9558285754958714
60,590,0.9957329177707875,345,0.9061696530839187,607,0.8990862828606514,437,0.8942523502998999,346,0.8868374963485185
61,612,0.948217344130456,611,0.9481654117557002,68,0.9467307166595622,69,0.9467307166595622,404,0.9467307166595622
62,743,0.9460862077840605,839,0.9425096693423394,374,0.9423515254536631,398,0.936885027789959,9,0.9365668764867423
63,544,0.9993254542002148,344,0.766122985931081,465,0.7647964056051919,309,0.7621992816360603,132,0.7611743299605316
64,362,0.9852333052406564,367,0.9851001694109245,52,0.985033136377033,358,0.9795732285556599,354,0.978736130942463
65,397,0.9055021428406412,364,0.8698991248801483,537,0.8650447675833459,141,0.864611386037292,170,0.8630632815627207
66,402,0.99974860109725,744,0.9783719102338467,335,0.9747113291107695,516,0.9744597859108114,575,0.9739955461032558
67,358,0.9711024521006455,354,0.9707741266171214,52,0.9701180234853781,362,0.9700181748132711,367,0.9699860620245416
68,69,1.0,404,1.0,611,0.9590406684357844,612,0.9590280954452328,205,0.9485843065638011
69,69,1.0,404,1.0,611,0.9590406684357844,612,0.9590280954452328,205,0.9485843065638011
70,368,0.9965632488391731,67,0.9468586921169897,358,0.9387809352597777,365,0.9364189935589609,399,0.9361191577029142
71,838,0.9873704411686924,744,0.972934673019658,337,0.9582582453995062,335,0.9543291318160055,831,0.9539533883235779
72,72,0.9999999999999998,75,0.8687896656724755,185,0.8687896656724755,434,0.8552930265593802,615,0.8512149758039582
